id,propertyType,title,locationId,price,size,hasParking,roomNumber,bathNumber,hasSwimmingPool,hasTerrace,hasGarden,hasLift,isGoodCondition,isNeedsRenovating,isNewDevelopment,featureTags,heatingType,interiorExterior,floor,area_name
96631862,piso,"piso en venta en calle de hilarión eslava, 14",0-EU-ES-28-07-001-079-07,849000,140.0,0,3,3,0,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 3ª,Chamberí
95667791,piso,piso en venta en avenida de la albufera,0-EU-ES-28-07-001-079-13,115000,47.0,0,2,1,0,0,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,bajo,Puente de Vallecas
98337517,piso,"piso en venta en calle san severo , 6",0-EU-ES-28-07-001-079-21,399000,85.0,1,2,2,1,1,0,1,0,0,1,[],no info,exterior,planta 1ª,Barajas
90795165,piso,piso en venta en calle de la farmacia,0-EU-ES-28-07-001-079-01,400000,85.0,0,2,2,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,interior,planta 3ª,Centro
98362298,piso,"piso en venta en calle san epifanio, 9",0-EU-ES-28-07-001-079-02,550000,90.0,1,2,2,1,1,0,1,0,0,1,['Lujo'],no info,exterior,planta 1ª,Arganzuela
97459484,piso,piso en venta en la del soto del parrar,0-EU-ES-28-07-001-079-17,125000,75.0,0,3,1,0,1,0,0,1,0,0,[],Calefacción individual,exterior,planta 5ª,Villaverde
98278399,piso,piso en venta en calle de quintana,0-EU-ES-28-07-001-079-09,765000,130.0,0,4,2,0,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 5ª,Moncloa
87090378,chalet,casa o chalet independiente en venta en el plantío,0-EU-ES-28-07-001-079-09,2950000,630.0,1,6,5,1,0,1,0,1,0,0,['Lujo\n\n\nVilla'],Calefacción individual,does not apply,does not apply,Moncloa
98196677,piso,"dúplex en venta en avenida del manzanares, 168",0-EU-ES-28-07-001-079-11,285000,90.0,0,2,1,0,0,0,1,1,0,0,[],Calefacción central: Gas,exterior,bajo,Carabanchel
98004842,piso,piso en venta en calle mirasierra,0-EU-ES-28-07-001-079-12,370000,101.0,0,3,2,0,0,0,0,1,0,0,[],no info,exterior,planta 4ª,Usera
98261092,piso,"estudio en venta en calle de la galería de robles, 5",0-EU-ES-28-07-001-079-01,185000,35.0,0,0,1,0,0,0,1,1,0,0,[],no info,interior,bajo,Centro
